episode,side,start_s,end_s,air_s,peak_mm,supported_fraction,next_ground_s
9,right,3.78,3.88,0.1,0.5044855527708,1.0,1.1400000000000001
9,right,5.0200000000000005,5.04,0.02,0.030615248453120386,1.0,0.22
9,right,5.26,5.34,0.08,1.1797932623678,1.0,1.06
10,left,1.06,1.28,0.22,1.0744542173087,1.0,0.06
10,left,1.34,1.38,0.04,0.14523668880499999,1.0,0.08
10,left,1.46,1.54,0.08,5.7331071508279,1.0,0.9400000000000001
10,left,2.48,2.54,0.06,0.4905192947836,1.0,0.1
10,left,2.64,2.68,0.04,0.368092794965,1.0,0.2
10,left,2.88,2.94,0.06,0.2840214963936,1.0,0.08
10,left,3.02,3.06,0.04,0.3254215348493,1.0,0.96
10,left,4.0200000000000005,4.08,0.06,1.9107031879765999,1.0,0.06
10,left,4.14,4.16,0.02,0.03224248193488223,1.0,0.1
10,left,4.26,4.4,0.14,1.160148146869,1.0,0.06
10,left,4.46,4.58,0.12,1.8873890917459002,1.0,1.02
10,left,5.6000000000000005,5.62,0.02,-0.04224479094255135,1.0,0.14
10,left,5.76,5.78,0.02,0.46077520278190004,1.0,0.02
10,left,5.8,5.82,0.02,0.3867451071658,1.0,0.02
10,left,5.84,5.86,0.02,0.00885163224165035,1.0,0.16
10,left,6.0200000000000005,6.16,0.14,1.0663573549426,1.0,0.06
10,left,6.22,6.24,0.02,0.0038963970952869686,1.0,0.96
10,left,7.2,7.22,0.02,0.04265668837749679,1.0,0.12
10,left,7.34,7.36,0.02,0.4616733126086,1.0,0.06
10,left,7.42,7.46,0.04,0.1873390103489,1.0,0.02
10,left,7.48,7.52,0.04,0.0008202406327579778,1.0,0.02
10,left,7.54,7.56,0.02,-0.14192571006719998,1.0,0.02
10,left,7.58,7.6,0.02,-0.12300017987770001,1.0,0.06
10,left,7.66,7.68,0.02,0.015507890172524342,1.0,1.12
10,left,8.8,8.9,0.1,1.4388232427338,1.0,0.02
10,left,8.92,8.96,0.04,0.2306187132322,1.0,0.06
